hotel,lead_time,children,country,category
Resort Hotel,203,0.0,GBR,long
City Hotel,82,0.0,PRT,long
City Hotel,25,0.0,BRA,short
City Hotel,1,0.0,SWE,short
City Hotel,70,0.0,GBR,long
City Hotel,170,0.0,DEU,long
City Hotel,21,0.0,SVN,short
City Hotel,102,0.0,DEU,long
Resort Hotel,55,0.0,GBR,long
Resort Hotel,222,0.0,ESP,long
Resort Hotel,120,0.0,BEL,long
City Hotel,88,0.0,DEU,long
Resort Hotel,79,0.0,GBR,long
City Hotel,41,0.0,PRT,short
City Hotel,239,0.0,PRT,long
Resort Hotel,23,0.0,GBR,short
Resort Hotel,34,0.0,PRT,short
City Hotel,38,1.0,FRA,short
City Hotel,160,0.0,FRA,long
Resort Hotel,32,0.0,FRA,short
Resort Hotel,56,0.0,PRT,long
City Hotel,97,0.0,PRT,long
Resort Hotel,85,0.0,USA,long
City Hotel,278,0.0,DEU,long
City Hotel,175,0.0,GBR,long
City Hotel,26,0.0,PRT,short
City Hotel,360,0.0,PRT,long
Resort Hotel,378,0.0,PRT,long
City Hotel,32,0.0,ARG,short
Resort Hotel,165,0.0,PRT,long
City Hotel,4,0.0,PRT,short
City Hotel,179,0.0,PRT,long
City Hotel,349,0.0,DEU,long
City Hotel,47,0.0,NLD,short
City Hotel,237,0.0,DEU,long
City Hotel,31,0.0,UGA,short
City Hotel,158,2.0,BEL,long
City Hotel,25,0.0,EST,short
City Hotel,386,0.0,DEU,long
Resort Hotel,10,0.0,TUR,short
City Hotel,76,0.0,AUT,long
City Hotel,42,0.0,BRA,short
Resort Hotel,210,0.0,PRT,long
City Hotel,4,0.0,NLD,short
City Hotel,33,0.0,PRT,short
City Hotel,7,0.0,PRT,short
City Hotel,21,0.0,PRT,short
City Hotel,160,0.0,PRT,long
Resort Hotel,28,0.0,FRA,short
City Hotel,274,0.0,PRT,long
City Hotel,155,0.0,USA,long
Resort Hotel,48,0.0,ESP,short
Resort Hotel,25,2.0,ESP,short
Resort Hotel,154,0.0,LUX,long
City Hotel,1,0.0,PRT,short
City Hotel,364,0.0,PRT,long
City Hotel,18,0.0,PRT,short
City Hotel,21,0.0,KOR,short
City Hotel,15,0.0,PRT,short
City Hotel,22,0.0,GBR,short
Resort Hotel,80,0.0,PRT,long
City Hotel,25,0.0,PRT,short
Resort Hotel,164,0.0,FRA,long
City Hotel,69,0.0,DEU,long
Resort Hotel,3,0.0,ESP,short
Resort Hotel,206,0.0,PRT,long
City Hotel,157,0.0,PRT,long
City Hotel,30,1.0,BRA,short
City Hotel,1,0.0,ESP,short
Resort Hotel,32,0.0,GBR,short
Resort Hotel,53,0.0,CHN,long
Resort Hotel,246,0.0,,long
City Hotel,304,0.0,PRT,long
City Hotel,127,0.0,AUT,long
Resort Hotel,0,0.0,ESP,short
City Hotel,113,0.0,PRT,long
City Hotel,272,2.0,AUT,long
City Hotel,11,1.0,GBR,short
City Hotel,98,0.0,PRT,long
City Hotel,292,0.0,PRT,long
City Hotel,16,1.0,ESP,short
City Hotel,70,0.0,NLD,long
Resort Hotel,49,0.0,PRT,short
City Hotel,379,0.0,PRT,long
Resort Hotel,289,1.0,AUS,long
Resort Hotel,108,0.0,PRT,long
Resort Hotel,128,0.0,GBR,long
Resort Hotel,18,0.0,GBR,short
Resort Hotel,46,0.0,PRT,short
City Hotel,4,0.0,FRA,short
City Hotel,332,1.0,BEL,long
City Hotel,28,0.0,FRA,short
Resort Hotel,1,0.0,USA,short
City Hotel,53,0.0,GBR,long
Resort Hotel,260,0.0,PRT,long
Resort Hotel,166,0.0,GBR,long
City Hotel,76,0.0,DEU,long
City Hotel,1,2.0,PRT,short
City Hotel,172,1.0,ESP,long
City Hotel,2,0.0,PRT,short
Resort Hotel,4,0.0,PRT,short
City Hotel,175,0.0,NLD,long
City Hotel,97,0.0,PRT,long
Resort Hotel,2,0.0,PRT,short
Resort Hotel,8,2.0,ESP,short
Resort Hotel,468,0.0,PRT,long
Resort Hotel,36,1.0,ESP,short
City Hotel,262,0.0,PRT,long
City Hotel,91,0.0,PRT,long
City Hotel,50,1.0,FRA,short
City Hotel,32,0.0,FRA,short
City Hotel,19,0.0,PRT,short
City Hotel,61,0.0,ESP,long
City Hotel,297,1.0,DEU,long
City Hotel,131,0.0,USA,long
Resort Hotel,228,0.0,DEU,long
City Hotel,330,0.0,PRT,long
City Hotel,53,0.0,BRA,long
City Hotel,144,0.0,GBR,long
Resort Hotel,36,0.0,ESP,short
City Hotel,313,0.0,PRT,long
Resort Hotel,32,0.0,PRT,short
City Hotel,524,0.0,PRT,long
City Hotel,56,0.0,PRT,long
City Hotel,138,0.0,ARE,long
City Hotel,156,0.0,FRA,long
City Hotel,164,0.0,PRT,long
Resort Hotel,8,0.0,,short
Resort Hotel,2,0.0,DEU,short
City Hotel,391,0.0,PRT,long
City Hotel,66,0.0,FRA,long
City Hotel,256,0.0,DEU,long
City Hotel,94,0.0,GBR,long
Resort Hotel,94,0.0,JAM,long
City Hotel,97,0.0,PRT,long
City Hotel,56,0.0,ESP,long
City Hotel,191,0.0,PRT,long
Resort Hotel,9,0.0,PRT,short
City Hotel,81,0.0,IRL,long
City Hotel,150,0.0,PRT,long
Resort Hotel,210,0.0,PRT,long
City Hotel,448,0.0,GBR,long
City Hotel,152,0.0,PRT,long
City Hotel,14,0.0,ESP,short
City Hotel,135,0.0,PRT,long
City Hotel,36,0.0,DEU,short
City Hotel,70,0.0,DEU,long
Resort Hotel,236,0.0,GBR,long
City Hotel,1,0.0,ESP,short
City Hotel,316,0.0,PRT,long
City Hotel,200,0.0,IRL,long
City Hotel,277,0.0,PRT,long
City Hotel,2,0.0,PRT,short
Resort Hotel,242,0.0,DEU,long
City Hotel,4,0.0,FRA,short
City Hotel,56,0.0,PRT,long
City Hotel,253,0.0,USA,long
City Hotel,357,0.0,GBR,long
City Hotel,118,0.0,SWE,long
Resort Hotel,170,0.0,FRA,long
Resort Hotel,207,0.0,GBR,long
City Hotel,87,0.0,PRT,long
City Hotel,37,0.0,PRT,short
City Hotel,110,0.0,IRL,long
Resort Hotel,0,0.0,PRT,short
City Hotel,74,0.0,PRT,long
Resort Hotel,143,0.0,DEU,long
City Hotel,2,0.0,PRT,short
City Hotel,344,0.0,PRT,long
City Hotel,43,0.0,AGO,short
City Hotel,100,0.0,NOR,long
City Hotel,92,0.0,PRT,long
City Hotel,215,0.0,CN,long
Resort Hotel,208,0.0,PRT,long
City Hotel,158,0.0,ISR,long
Resort Hotel,78,0.0,ESP,long
Resort Hotel,49,0.0,PRT,short
Resort Hotel,0,0.0,DEU,short
City Hotel,133,0.0,DEU,long
City Hotel,80,0.0,ESP,long
Resort Hotel,199,0.0,PRT,long
Resort Hotel,40,0.0,DZA,short
City Hotel,2,0.0,PRT,short
City Hotel,13,0.0,DEU,short
City Hotel,5,0.0,USA,short
City Hotel,153,0.0,PRT,long
City Hotel,54,0.0,DEU,long
Resort Hotel,10,0.0,PRT,short
Resort Hotel,23,1.0,PRT,short
City Hotel,235,0.0,PRT,long
City Hotel,242,1.0,FRA,long
City Hotel,185,0.0,AUT,long
City Hotel,16,0.0,ESP,short
City Hotel,229,0.0,PRT,long
City Hotel,158,0.0,PRT,long
City Hotel,17,0.0,USA,short
Resort Hotel,149,2.0,CHE,long
Resort Hotel,163,0.0,GBR,long
Resort Hotel,1,0.0,PRT,short
Resort Hotel,81,0.0,PRT,long
City Hotel,91,0.0,DEU,long
City Hotel,122,0.0,PRT,long
City Hotel,143,0.0,BRA,long
Resort Hotel,120,0.0,FRA,long
City Hotel,113,0.0,PRT,long
City Hotel,395,0.0,PRT,long
City Hotel,391,0.0,PRT,long
City Hotel,71,0.0,NOR,long
Resort Hotel,7,0.0,GBR,short
City Hotel,151,0.0,PRT,long
City Hotel,277,0.0,PRT,long
City Hotel,169,0.0,PRT,long
City Hotel,158,1.0,AUT,long
Resort Hotel,50,0.0,ESP,short
City Hotel,0,0.0,PRT,short
City Hotel,73,0.0,NLD,long
City Hotel,0,0.0,GBR,short
Resort Hotel,0,0.0,PRT,short
City Hotel,316,0.0,PRT,long
City Hotel,158,0.0,ISR,long
Resort Hotel,43,0.0,GBR,short
City Hotel,364,0.0,PRT,long
Resort Hotel,219,0.0,PRT,long
City Hotel,288,0.0,PRT,long
Resort Hotel,162,0.0,ESP,long
City Hotel,97,0.0,IRL,long
Resort Hotel,21,0.0,MAR,short
City Hotel,214,0.0,ESP,long
City Hotel,1,0.0,USA,short
City Hotel,18,0.0,ESP,short
City Hotel,142,0.0,FRA,long
City Hotel,99,0.0,BEL,long
Resort Hotel,320,0.0,FRA,long
City Hotel,211,0.0,PRT,long
Resort Hotel,198,0.0,AUT,long
City Hotel,37,0.0,GBR,short
City Hotel,408,0.0,PRT,long
City Hotel,27,0.0,ITA,short
City Hotel,110,0.0,ITA,long
City Hotel,129,0.0,PRT,long
Resort Hotel,275,0.0,PRT,long
City Hotel,152,0.0,PRT,long
Resort Hotel,43,0.0,FRA,short
City Hotel,19,0.0,PRT,short
City Hotel,107,0.0,ESP,long
City Hotel,16,0.0,NGA,short
City Hotel,281,0.0,PRT,long
City Hotel,1,0.0,ESP,short
City Hotel,88,1.0,ESP,long
Resort Hotel,4,0.0,PRT,short
City Hotel,111,0.0,AUT,long
City Hotel,74,0.0,PRT,long
Resort Hotel,190,0.0,CHE,long
Resort Hotel,11,0.0,ESP,short
City Hotel,46,0.0,PRT,short
Resort Hotel,240,0.0,GBR,long
